id,term_in_arabic,new_term_in_arabic,term_in_arabic_normalized,definition_in_english,part_of_speech,is_from_french,is_vulgar,french,example_sentence_in_arabic,example_sentence_in_arabic_normalized,example_sentence_in_english
49,بُونُو,,بونو,"worthless thing, piece of paper",N,False,False,,عطاني بونو  بعد ما كملت الفرماسيون,عطاني بونو  بعد ما كملت الفرماسيون,He gave me a worthless piece of paper after I finished the training.
50,بْيَاسَة,,بياسة,"coin, change",N,False,False,,نعطيك خمسة آلاف بياسة؟,نعطيك خمسة آلاف بياسة ، ,Should I give you five dinars in coins?
51,بِيدِي,,بيدي,"myself, on my own, personally",PRON,False,False,,أنا بيدي نحب ناكل حاجة,أنا بيدي نحب ناكل حاجة,I myself want something to eat.
52,بِيسَة,,بيسة,"marble, small ball",N,False,False,,كي كنا صغار كنا ديما نلعبو بالبيس,كي كنا صغار كنا ديما نلعبو بالبيس,"When we were young, we always played with marbles."
54,پَارْتَارْ,پَارْتَارْ,پارتار,on the ground,N,True,False,Paritaire,البنّاي يركّب في البارتار,البناي يركب في البارتار,The construction worker is doing the ground installation.
55,پْيَاسْ جْوَانِتْ,پْيَاسْ جْوَانِتْ,پياس جوانت,attached file,N,True,False,piece jointe,حل الايمال أهوكا بعثتلك بياس جوانت,حل الايمال أهوكا بعثتلك بياس جوانت,"Open the email, and there's the attached file I sent you."
56,پِيلَانْتِي,پِيلَانْتِي,پيلانتي,"penalty, foul, penalty shot",N,True,False,Violation,الجووار ضيع بيلانتي,الجووار ضيع بيلانتي,The player missed the penalty shot.
58,تْأَقْلِمْ,,تأقلم,"to adapt, get used to, acclimate",V,False,False,,تأقلم مع الوضع,تأقلم مع الوضع,He got used to the situation.
59,تالي,تَالِي,تالي,"behind, back",N,False,False,,أمسح سروالك من تالي,أمسح سروالك من تالي,Wipe off your trousers on the back.
60,تَجَاذُبَاتْ,,تجاذبات,"arguments, debates",N,False,False,,التجاذبات السياسية أنتجت الفوضى,التجاذبات السياسية أنتجت الفوضى,Political arguments caused chaos.
61,تحمص,تِحْمَصْ,تحمص,"to regret not doing something, rue",V,False,False,,تحمص مل الفازا,تحمص مل الفازا,He regretted his action.
62,تَحِيَّة,,تحية,"greeting, salutation",N,False,False,,قدم التحية,قدم التحية,He saluted him.
63,تَحِيَّة المَسْجِدْ,,تحية المسجد,prayers done before sitting in the mosque,N,False,False,,صلّي تحية المسجد قبل ما تقعد,صلي تحية المسجد قبل ما تقعد,Pray the opening prayers in the mosque before sitting down.
64,تْرَافِلْ,,ترافل,clubs (in playing cards),N,False,False,,كليت السبعة الترافل,كليت السبعة الترافل,I got the seven of clubs (in shkoba).
65,تْرَصْ,,ترص,Sit down! (forceful),V,False,False,,ترص و أقعد رايض,ترص و أقعد رايض,Sit on your behind and calm down!
66,تْرُمْبِيطَة,,ترمبيطة,tiebreaker in card game,N,False,False,,توا بش نلعبو الترومبيطة,توا بش نلعبو الترومبيطة,Now we're going to play the deciding game.
68,تْرُونِيقْ,,ترونيق,to groom in front of the mirror more than necessary,N,False,False,,يزي م الترونيق متاعك,يزي م الترونيق متاعك,Quit grooming so much!
69,تْرِيبُولَاتْ,,تريبولات,"sling, slingshot",N,False,False,,يا حسرة كي كنا نلعبو صغار بالتريبولات,يا حسرة كي كنا نلعبو صغار بالتريبولات,"Oh, the old days when we were young and played with slingshots."
70,تْسَرْبِلْ,,تسربل,"to sneak, pass by stealthily, slink",V,False,False,,تسربل مع الحيط و فصع,تسربل مع الحيط و فصع,He snuck along the wall and got away.
71,تْسَلِّكْ,,تسلك,"to solve a problem, snatch victory out of defeat",V,False,False,,إنشالله تسلكها غدوة في الإكزامان,إنشالله تسلكها غدوة في الإكزامان,God willing you'll figure it out tomorrow in the test.
72,تْشَامَى,,تشامى,"to wink, plan a conspiracy against someone else",V,False,False,,تشاماو عليك راهو,تشاماو عليك راهو,They're planning something against you!
73,تْشَعْبِطْ,,تشعبط,"to climb with effort (i.e. wall, rock face)",V,False,False,,يتشعبط في الحيط,يتشعبط في الحيط,He is climbing up the wall.
74,تْشِيشَة,,تشيشة,dash (e.g. of salt),N,False,False,,زيدها تشيشة ملح,زيدها تشيشة ملح,Add a dash of salt.
75,تصرّف لايق,تَصَرُّفْ لَايِقْ,تصرف لايق,suitable behavior,V,False,False,,تصرف لائق بالمركز متاعو,تصرف لائق بالمركز متاعو,He acted appropriately for his position.
76,تصرّف عادي,تْصَرِّفْ عَادِي,تصرف عادي,normal behavior,V,False,False,,تصرف عادي ما تتربثش,تصرف عادي ما تتربثش,Act normally and don't act strangely.
77,تصرّف على زي راسو,تْصَرِّفْ عَلى زِي رَاسُو,تصرف على زي راسو,"he does what he thinks is right, what he wants",V,False,False,,تصرّف على زي راسوما شاور حد,تصرف على زي راسوما شاور حد,He did what he thought was best; he didn't ask anyone.
78,تصرّف على كيفو,تْصَرِّفْ عَلَى كِيفُو,تصرف على كيفو,he does what he wants/pleases,V,False,False,,ديما يتصرف على كيفو,ديما يتصرف على كيفو,He always does what he wants.
79,تصرّف كيما الكبار,تْصَرُّفْ كِيمَا الكْبَارْ,تصرف كيما الكبار,he acts like an adult,V,False,False,,يعطيه الصحة ولدك يتصرف كيما الكبار,يعطيه الصحة ولدك يتصرف كيما الكبار,Your son is great; he acts like an adult.
80,تَصْرِيحْ,,تصريح,"declaration, announcement",N,False,False,,طلبو عليه تصريح بالدخل السنوي,طلبو عليه تصريح بالدخل السنوي,They asked him for a declaration of his annual income.
82,تعاقب,تْعَاقِبْ,تعاقب,"to succeed, come next, follow",V,False,False,,تعاقب الحكومات مظهر من مظاهر الديمقراطية,تعاقب الحكومات مظهر من مظاهر الديمقراطية,Succeeding governments is one of the features of democracy.
83,تعالى عليه,تْعَالَى عَلِيه,تعالى عليه,"to be arrogant, think of oneself as better",V,False,False,,تعالى عليه و حقرو,تعالى عليه و حقرو,He was arrogant towards him and looked down on him.
84,تعامل,تْعَامِلْ,تعامل,"to interact, deal with, face",V,False,False,,تعامل مع الوضعية بكل برودة دم,تعامل مع الوضعية بكل برودة دم,He dealt with the situation very calmly.
86,تعامل بالمعروف,تْعَامِلْ بالمَعرُوفْ,تعامل بالمعروف,"to interact, treat with respect",V,False,False,,تعامل مع والديه بالمعروف,تعامل مع والديه بالمعروف,You should treat your parents with respect.
87,تعامل بعنف,تْعَامِلْ بِعُنفْ,تعامل بعنف,to treat with violence,V,False,False,,تعامل مع مرطو بعنف,تعامل مع مرطو بعنف,He is violent with his wife.
90,تعاندو بالحجج,تْعَانْدُو بِالحُجَجْ,تعاندو بالحجج,discuss with arguments,V,False,False,,تعاندو بالحجج و البراهين,تعاندو بالحجج و البراهين,They discussed arguments and proofs.
91,تْعَاوِدْ,,تعاود,"to repeat, do or say again",V,False,False,,رد بالك تعاود صنعتك,رد بالك تعاود صنعتك,Be careful not to do that again.
93,تْعَاوِنْ,,تعاون,"to help each other, work together",V,False,False,,أيجا نتعاونو على الخدمة هذي,أيجا نتعاونو على الخدمة هذي,Let's work together on this job.
94,تعايش,تْعَايِشْ,تعايش,"to live alongside, live with, live near or by",V,False,False,,التعايش السلمي هو أساس الاستقرار,التعايش السلمي هو أساس الاستقرار,Living together peacefully is the foundation of stability.
95,تَعِّبْ,,تعب,"to make tired, cause fatigue, wear out",V,False,False,,تعّب أمو و بوه في جرتو,تعب أمو و بوه في جرتو,He made his mother and father tired with his actions.
96,تْعَبْ,,تعب,"fatigue, tiredness",N,False,False,,رجع عليه التعب بعد خدمة البارح,رجع عليه التعب بعد خدمة البارح,He grew tired again after working yesterday.
98,تْعِبْ,,تعب,"to tire, be fatigued",V,False,False,,تعب مسكين من خدمة المرمّة,تعب مسكين من خدمة المرمة,The poor guy has been worn out by working on the construction site.
99,تْعَبْ بِالفَارَغْ,,تعب بالفارغ,"to get tired, wear out for no reason, in vain",V,False,False,,تعب بالفارغ كينو ماعمل شي,تعب بالفارغ كينو ماعمل شي,He grew tired for nothing; it was as if he hadn't done anything.
100,تْعِبْ مِ الجَرِي,,تعب م الجري,"to tire out from running, jogging",V,False,False,,تعب م الجري,تعب م الجري,He got tired from running.
101,تْعَبِّدْ,,تعبد,"to worship, honor, serve",V,False,False,,تعبد ربي برشا,تعبد ربي برشا,He worships God a lot.
103,تعبّى بالروح بالقدس,تْعَبَّى بالرُوحْ بالقُدُسْ,تعبى بالروح بالقدس,to be full of the Holy Spirit,V,False,False,,تعبى بالروح القدس,تعبى بالروح القدس,He was filled with the Holy Spirit.
104,تَعْبِيرْ,,تعبير,"expression, saying",N,False,False,,الكاتب إستعمل تعبير مجازي,الكاتب إستعمل تعبير مجازي,The author used a figurative expression.
105,تَعْتِيمْ,,تعتيم,"cover-up, not telling the truth",N,False,False,,فمّا تعتيم إعلامي كبير,فما تعتيم إعلامي كبير,There's a significant media cover-up going on.
106,تْعَثِّرْ,,تعثر,bog down,V,False,False,,تعثرت المفاوضات بعد ما صار سوء تفاهم,تعثرت المفاوضات بعد ما صار سوء تفاهم,The negotiations bogged down after the misunderstanding.
107,تدعثر,تْدَعْثِرْ,تدعثر,to trip,V,False,False,,ديما نتدعثر في عتبة باب داركم,ديما نتدعثر في عتبة باب داركم,I always trip on the front step of your house.
108,تْعَجِّبْ,,تعجب,"to be amazed, to wonder, be in awe",V,False,False,,تعجّب من ردة الفعل متاعو,تعجب من ردة الفعل متاعو,He was amazed by his reaction.
109,تِعْجْبُو,,تعجبو,he likes it,V,False,False,,البلاصة هاذي تعجبو برشا,البلاصة هاذي تعجبو برشا,He really likes this place.
110,تَعْجِيزْ,,تعجيز,"incapacitator, blockage, hindrance",N,False,False,,فما حاجات تعجيز للمواطن,فما حاجات تعجيز للمواطن,There are obstacles that hinder citizens.
111,تْعَدَّاتْ,,تعدات,"to pass by, finish, be done",V,False,False,,تعدات الغصرة على خير,تعدات الغصرة على خير,The difficult time passed by ok.
112,تْعَدَّاتْ عْلَى جْنَبْ,,تعدات على جنب,to pass by on the side,V,False,False,,الكرة تعدات على جنب,الكرة تعدات على جنب,The ball went by to the side.
113,تْعَدَّاتْ عْلِيهْ,,تعدات عليه,"he didn't get it, didn't catch it, it went right by him",V,False,False,,تعدات عليه هاذي,تعدات عليه هاذي,He didn’t get that.
114,تِعْدَادْ سَكَنِي,,تعداد سكني,residential census,V,False,False,,قاعدين يقوموا بتعداد سكني,قاعدين يقوموا بتعداد سكني,They're holding a residential census.
115,تعدالو,تْعَدَالُو,تعدالو,"to pass by to someone, to come by",V,False,False,,تعدالو للدار,تعدالو للدار,They passed by his house.
116,تَعَدُّدْ الأَزْوَاجْ,,تعدد الأزواج,"polyandry, to have more than one husband",N,False,False,,القانون يمنع تعدد الأزواج,القانون يمنع تعدد الأزواج,The law forbids polyandry.
117,تَعَدُّدْ الزَّوْجَاتْ,,تعدد الزوجات,"polygamy, to have more than one wife",N,False,False,,تعدد الزوجات ماهوش مسموح بيه في تونس,تعدد الزوجات ماهوش مسموح بيه في تونس,Polygamy is not allowed in Tunisia.
118,تِعْدِمْ,,تعدم,"to be executed, to receive capital punishment",V,False,False,,الإرهابي تعدم بعد ما تعدات وراقو للمفتي,الإرهابي تعدم بعد ما تعدات وراقو للمفتي,The terrorist was executed after his dossier went to the national Islamic leader.
119,تعدى سلامات,تْعدَى سَلاَمَاتْ,تعدى سلامات,"It went by peacefully, without trouble.",V,False,False,,تعدّى سلامات قدّام البوليسيّة و هو ماعندوش أوراق الكرهبة,تعدى سلامات قدام البوليسية و هو ماعندوش أوراق الكرهبة,It went by ok with the police even though he doesn't have the car papers.
120,تِعْدَى,,تعدى,to catch something contagious,V,False,False,,تعدى بالحصبة,تعدى بالحصبة,He caught the chickenpox.
122,تْعَدَّى بِيهْ العْمُرْ,,تعدى بيه العمر,"to be getting old, to pass a long time",V,False,False,,تعدّى بيه العمر أكاكا,تعدى بيه العمر أكاكا,"He got older, like that…"
123,تعدّى الحدود متاعو,تْعَدَّى الحُدُودْ مْتَاعُو,تعدى الحدود متاعو,"to exceed limits, go too far",V,False,False,,تعدى الحدود متاعو,تعدى الحدود متاعو,He went too far.
124,تعدّى ع القانون,تْعَدَّى عَ القَانُونْ,تعدى ع القانون,"to violate the law, transgress the law",V,False,False,,كان تتعدّى على القانون باش تشدّ الحبس,كان تتعدى على القانون باش تشد الحبس,"If you break the law, you'll go to jail."
125,تْعَدَّى عْلِيهْ,,تعدى عليه,"to do wrong to, to violate someone's rights",V,False,False,,حطّوه في الحبس على خاطرو تعدّى على جارو بالعنف,حطوه في الحبس على خاطرو تعدى على جارو بالعنف,They put him in jail because he violently attacked his neighbour.
126,تْعَدَّى عْلِيهَا الوَقْتْ,,تعدى عليها الوقت,"time is passing by, it's getting late",V,False,False,,تعدى عليها الوقت و هي تستنى فيه,تعدى عليها الوقت و هي تستنى فيه,Time passed by and she kept waiting for him.
127,تْعَدَّى فْلَاشْ,,تعدى فلاش,"it happened really quickly, in a flash",V,False,False,,مش نورمال الكرهبة تعدات فلاش,مش نورمال الكرهبة تعدات فلاش,That was amazing; the car went by in a flash.
128,تْعَدَّى فِي الطْوِيلْ بِالنُّومْ,,تعدى في الطويل بالنوم,to plunge into a deep sleep,V,False,False,,تعدى في الطويل بالنوم ياخي راتي خدمتو,تعدى في الطويل بالنوم ياخي راتي خدمتو,He fell deeply asleep and so missed work.
129,تعدّى قبلو,تَعَدًّى قَبْلُو,تعدى قبلو,"to cut in front, go in front",V,False,False,,تعدّى قبلو في الصف,تعدى قبلو في الصف,He cut him in line.
130,تْعَدَّى لِلْكَاسَة,,تعدى للكاسة,"to go to the cashier, counter",V,False,False,,تعدى للكاسة و برا خلص,تعدى للكاسة و برا خلص,Go to the cashier and pay.
131,تعدى لموضوع آخر,تْعَدّى لِموُضُوع آخِر,تعدى لموضوع آخر,"to switch topics, to change the conversation",V,False,False,,تعدى لموضوع آخر ما أهم,تعدى لموضوع آخر ما أهم,He went on to another more important subject.
132,تْعَدِّي عَلْ المِلْكِيَّة,,تعدي عل الملكية,to infringe property rights,V,False,False,,تعدى ع ملكيّة الغير,تعدى ع ملكية الغير,He violated the other's property rights.
133,تَعْدِيلْ فَصْلَ مِنَ القَانُونْ,,تعديل فصل من القانون,"to amend a law, change an article in the law",N,False,False,,تمت المصادقة على تعديل فصل م القانون,تمت المصادقة على تعديل فصل م القانون,An amendment to an article in the law was agreed upon.
135,تْعَذِّبْ,,تعذب,"to suffer, hurt",V,False,False,,تعذّب مسكين م الترنسبور,تعذب مسكين م الترنسبور,The poor guy has really suffered due to transportation.
136,تْعَرِّضْ,,تعرض,"to be exposed to, to face",V,False,False,,تعرّض لحادث مرور,تعرض لحادث مرور,He had a car accident.
137,تعرّف,تْعَرِّفْ,تعرف,"to meet, get to know someone",V,False,False,,تعرّف على صاحب جديد,تعرف على صاحب جديد,He got to know a new friend.
139,تَعَرُّفْ عَلْ الهُوِيَّة,,تعرف عل الهوية,"to identify, find a person's identity (official)",V,False,False,,وزارة الداخلية تعرفت على هوية المجرم,وزارة الداخلية تعرفت على هوية المجرم,The Ministry of the Interior found out the criminal's identity.
141,تعرّى,تْعَرَّى,تعرى,"to undress, strip",V,False,False,,تعرى في الليل في الفرش,تعرى في الليل في الفرش,He took off his clothes at night in bed.
142,تَعْرِيفْ,,تعريف,"definition, explanation",V,False,False,,قدم تعريف للمصطلح,قدم تعريف للمصطلح,He offered a definition of the term.
143,تَعْرِيفْ بِالِإمْضَاءْ,,تعريف بالإمضاء,"notarization, official recognition of signature",N,False,False,,الكونترا ناقصو تعريف بالإمضاء في البلدية,الكونترا ناقصو تعريف بالإمضاء في البلدية,The contract is missing notarization of the signature from the town hall.
144,تَعْرِيفَة,,تعريفة,"price, charge, fee",N,False,False,,تعريفة النقل زادت,تعريفة النقل زادت,The transportation fee has gone up.
145,تَعْزِيَة,,تعزية,"condolence, consoling",N,False,False,,قدمنا التعزية لصاحبنا,قدمنا التعزية لصاحبنا,We offered condolencense to our friend.
146,تعسر,تْعَسِرْ,تعسر,"Obstructed, to have stomach pain",V,False,False,,يتعسر في بلاصتو,يتعسر في بلاصتو,He's writhing in pain there.
147,تعصم,تِعْصَمْ,تعصم,to be constipated,V,False,False,,كرشو تعصمت,كرشو تعصمت,He is constipated.
148,تَعْسِيلَة,,تعسيلة,"short nap, cat nap",N,False,False,,خليني نعمل تعسيلة بش نرتاح,خليني نعمل تعسيلة بش نرتاح,Let me take a short nap and rest.
149,تْعَشْعِشْ,,تعشعش,"to feed, fatten up",V,False,False,,تو كي تعرّس مرتك تتلهى بيك و تعشعشك,تو كي تعرس مرتك تتلهى بيك و تعشعشك,"When you get married, your wife will take care of you and you'll fatten up."
150,تِعْشَقْ,,تعشق,"to be amazing, to stun",V,False,False,,الروبة متاعها تعشّق,الروبة متاعها تعشق,Her dress is stunning.
151,تعشّى,تْعَشَّى,تعشى,"to dine, have dinner",V,False,False,,تعشّى و تمشّى,تعشى و تمشى,Eat and then go on a walk.
153,تَعْصِفْ,,تعصف,"to grow strong, turn into a storm",V,False,False,,الريح تعصف شي كبير,الريح تعصف شي كبير,The wind has really picked up a lot.
154,تْعَصِّمْ الكِرْشْ,,تعصم الكرش,"stomach closes up, be constipated",V,False,False,,الماكلة إلي كليناها تعصم الكرش,الماكلة إلي كليناها تعصم الكرش,The food we ate makes you constipated.
155,تْعَطِّلْ,,تعطل,"to stop, hinder, block, delay",V,False,False,,أيا ما تعطلناش,أيا ما تعطلناش,"OK, don't slow me down."
156,تْعَفِّسْ,,تعفس,"to step on, step in, smash",V,False,False,,رد بالك لتعفّس ع النجاسة,رد بالك لتعفس ع النجاسة,Be careful not to step on something unclean.
157,تَعَفُّنْ الجُثَّة,,تعفن الجثة,"to rot as a corpse, decompose, stink",V,False,False,,الجثّة تعفنت,الجثة تعفنت,The corpse began to decompose.
158,تَعْفِيطَة,,تعفيطة,to make a smacking noise with your cheek in order to mock someone,V,False,False,,شكون إلي سيب تعفيطة توا؟,شكون إلي سيب تعفيطة توا ، ,Who made that smacking noise now?
159,تْعَقِّدْ,,تعقد,"to have a complex, go crazy, have trouble with something",V,False,False,,تعقّد م البنات,تعقد م البنات,He's gone crazy over girls.
160,تْعَقْرِبْ,,تعقرب,"to grow harsh with, evil with (usually women against men)",V,False,False,,تعقرب عليه,تعقرب عليه,He got really harsh with him.
161,تِعْكِسْ,,تعكس,to reflect,V,False,False,,الإحتجاجات تعكس وضع البلاد,الإحتجاجات تعكس وضع البلاد,Protests reflect the country's state.
163,تْعَلَّقْ,,تعلق,"to hang on to, rely on",V,False,False,,تعلّق بربّي,تعلق بربي,He relies on God.
164,تعلّم,تْعَلِّمْ,تعلم,"to learn, to understand",V,False,False,,تعلّم يحكي بالعربي,تعلم يحكي بالعربي,He learned to speak Arabic.
166,تَعْلِيقْ,,تعليق,"commentary, perspective",N,False,False,,شنوا تعليقك عليّ صار,شنوا تعليقك علي صار,What's your perspective on what happened?
167,تَعْلِيلَة,,تعليلة,song at the end of a wedding ceremony,N,False,False,,ختم السهرية بالتعليلة,ختم السهرية بالتعليلة,The soiree ended with the closing song.
169,تَعْلِيمْ,,تعليم,"education, learning",N,False,False,,تعليم الكبار الهدف متاعو محو الأميّة,تعليم الكبار الهدف متاعو محو الأمية,The goal of educating adults is to wipe out illiteracy.
171,تَعْلِيمَاتْ,,تعليمات,"instructions, advice",N,False,False,,مدير المعمل أعطى تعليماتو بش نخدمو نهار الأحد,مدير المعمل أعطى تعليماتو بش نخدمو نهار الأحد,The factory's director gave orders for us to work on Sunday.
172,تْعَمِّدْ,,تعمد,to be baptized,V,False,False,,تعمّد بالروح القدس,تعمد بالروح القدس,He was baptized with the Holy Spirit.
173,تْعَمِّدْ,,تعمد,"to do something deliberately, premeditate something",V,False,False,,تعمد مضايقتو,تعمد مضايقتو,He deliberately bothered him.
175,تْعَمَّقْ,,تعمق,"to deepen, grow deeper",V,False,False,,تعمّق في البحوث متاعو,تعمق في البحوث متاعو,He went deeper in his research.
176,تِعْمَلْ,,تعمل,"to be done, finished, to have already taken place",V,False,False,,تعمل إلي كان لازم يتعمل,تعمل إلي كان لازم يتعمل,What needed to be done was done.
177,تَعْمِلْ الجَايِرْ,,تعمل الجاير,"to cause reflux, stomach acid",V,False,False,,الماكلة هاذي تعملي الجاير,الماكلة هاذي تعملي الجاير,That food causes reflux for me.
178,تَعْمِلْ السُّكِّرْ,,تعمل السكر,to cause diabetes,V,False,False,,متكثر مل الماكلة الحلوة لتعملك السكر,متكثر مل الماكلة الحلوة لتعملك السكر,Don't eat too much sweet food; it causes diabetes.
179,تَعْمِلْ الكَالْكَارْ,,تعمل الكالكار,to cause kidney stones,V,False,False,,ماء السبالة يعمل الكالكار,ماء السبالة يعمل الكالكار,Tap water causes kidney stones.
181,تَعْمِلْ عْلِيَّا مْزِيَّة,,تعمل عليا مزية,Could you do me a favor?,V,False,False,,تعمل عليّا مزيّا؟,تعمل عليا مزيا ، ,Could you do me a favor?
182,تَعْمِلْ مَانِيكِيرْ فِي ضْوَافِرْهَا,,تعمل مانيكير في ضوافرها,"to do a pedicure/manicure, to groom nails",V,False,False,,تعمل المانيكير في ضوافرها,تعمل المانيكير في ضوافرها,She's manicuring her nails.
